company,job-title,level,sql,python,excel,tableau,power bi,remote,da,ds,country,ml,r
Elliott Gray Pty Ltd,Python Software Developer,Mid-Senior level,0,1,0,0,0,1,0,1,aus,0,0
Workforce Australia for Individuals,Full Time Software Engineer,Entry level,0,0,1,0,0,0,0,1,aus,0,0
Cobblestone Energy,"DATA SCIENTIST - Dubai, UAE",Entry level,0,1,1,0,0,0,0,1,aus,1,0
Thermo Fisher Scientific,Bioprocess Scientist DSP,Not Applicable,0,0,0,0,0,0,0,1,aus,0,0
Life Trading,Python Developer,Entry level,1,1,1,0,0,0,0,1,aus,0,0
Hunter&Talent,Python Developer,Entry level,0,1,0,0,0,0,0,1,aus,0,0
FRG Technology Consulting,Data Scientist,Entry level,1,1,1,1,1,0,0,1,aus,0,0
SICE ANZ,Junior Software Engineer,Associate,1,0,1,0,0,0,0,1,aus,0,0
Cobblestone Energy,"GRADUATE SOFTWARE ENGINEER - Dubai, UAE",Entry level,1,1,1,1,0,0,0,1,aus,0,0
Cash App,Senior Machine Engineer,Associate,1,1,0,0,0,1,0,1,aus,1,0
BizCover,Software Engineer x 2,Mid-Senior level,1,0,0,0,0,0,0,1,aus,0,0
Workforce Australia for Individuals,Data Scientist,Entry level,0,1,0,0,0,0,0,1,aus,1,0
Technology People Group,Data Scientist,Entry level,0,1,0,1,0,1,0,1,aus,1,1
Hallis,Data Scientist,Not Applicable,1,1,0,0,1,0,0,1,aus,1,0
Workforce Australia for Individuals,Machine Learning Engineer,Entry level,0,0,0,0,0,0,0,1,aus,1,0
Workforce Australia for Individuals,Engineering and Data Scientists - Machine Learning and Analytics Engineering,Entry level,1,1,0,0,0,0,0,1,aus,1,0
onpoint 365,Machine Learning Engineer,Entry level,1,1,0,0,0,0,0,1,aus,1,0
Robert Walters,Data Scientist,Entry level,0,1,0,0,0,0,0,1,aus,1,0
D'Arcy Weil,Data Scientist - Energy Markets,Entry level,0,1,1,1,1,0,0,1,aus,1,1
Workforce Australia for Individuals,Engineering and Data Scientists - Business Intelligence and Data Analytics,Entry level,0,0,0,0,0,0,0,1,aus,0,0
Workforce Australia for Individuals,Customer Data Scientist,Entry level,1,1,0,0,0,0,0,1,aus,0,0
Cobblestone Energy,"JUNIOR DATA SCIENTIST - Dubai, UAE",Entry level,1,1,0,0,0,1,0,1,aus,0,0
Workforce Australia for Individuals,Machine Learning Data Engineer,Entry level,0,0,0,0,0,0,0,1,aus,1,0
Humanity,Principal Applied Scientist/Machine Learning Engineer,Associate,0,0,0,0,0,0,0,1,aus,1,0
Fleet Space Technologies,Data Scientist - Physical Modelling,Entry level,0,1,0,0,0,1,0,1,aus,1,0
face2face Recruitment,Machine Learning Engineer,Entry level,1,1,0,0,0,0,0,1,aus,1,0
SustainAbility Consulting,ML Engineer,Not Applicable,1,1,0,0,0,0,0,1,aus,1,0
_nology,Entry-Level Software Engineer | Learn to Code | November Intake - Melbourne Only,Not Applicable,0,0,1,0,0,1,0,1,aus,0,0
Queensland Government,Scientist,Not Applicable,0,0,0,0,0,0,0,1,aus,0,0
Nexus Silicon Technologies,Artificial Intelligence Internship,Entry level,0,1,1,0,0,0,0,1,aus,1,1
Workforce Australia for Individuals,Risk Scientist (Modelling and Data),Entry level,1,1,1,0,0,0,0,1,aus,0,0
CryptoRecruit ,Data Scientist - Blockchain Intelligence,Entry level,1,1,0,0,0,0,0,1,aus,1,1
Launch Recruitment,Data Scientist,Entry level,0,1,1,0,0,0,0,1,aus,1,0
"IDC Technologies, Inc.",Data Scientist,Entry level,1,1,0,0,0,0,0,1,aus,1,1
_nology,Entry-Level Software Engineer | Learn to Code | November Intake - Sydney Only,Not Applicable,0,0,1,0,0,1,0,1,aus,0,0
Talent,Data Analyst,Mid-Senior level,1,1,0,0,0,0,1,0,ger,0,0
Allianz Partners,Data Analyst,Not Applicable,1,1,1,0,0,0,1,0,ger,0,1
Gravitas Recruitment Group (Global) Ltd,Data Analyst,Mid-Senior level,0,0,0,0,0,0,1,0,ger,0,0
Beyond Fossil Fuels,Junior Data Analyst | Remote working from any European location,Mid-Senior level,0,1,0,0,0,1,1,0,ger,0,0
BMG - The New Music Company,Data Analyst (f/m/d),Entry level,1,1,1,1,1,1,1,0,ger,0,0
KOSATEC Computer GmbH,Data Analyst (m/w/d),Associate,1,1,0,1,0,0,1,0,ger,0,1
Venturi,Senior Data Analyst (m/w/d),Mid-Senior level,1,0,0,0,0,1,1,0,ger,0,0
suena,Full-Time Data Analyst (f/m/x),Entry level,0,1,0,0,0,1,1,0,ger,0,0
kevin.,Data Analyst,Mid-Senior level,1,0,0,1,1,0,1,0,ger,0,0
Orizon,Data Analyst for AIRBUS (m/f/d),Mid-Senior level,0,0,1,0,0,0,1,0,ger,0,0
roadsurfer,Experienced Data Analyst (m/f/d),Mid-Senior level,1,1,0,0,1,0,1,0,ger,0,0
HOYER,Data Analyst (m/w/d),Entry level,0,0,0,0,0,0,1,0,ger,0,0
PARTS EUROPE - We Support The Sport®!,Data Analyst (m/f/d),Entry level,0,0,0,0,0,1,1,0,ger,0,0
SOFTGAMES,Game Data Analyst (fully remote),Mid-Senior level,1,1,1,1,0,1,1,0,ger,0,0
fraud0.com,Data Analyst / Scientist (m/f/d),Mid-Senior level,0,0,1,0,0,0,1,0,ger,1,0
PALTRON,(Junior) Data Analyst / Engineer (m/f/d),Entry level,1,0,0,0,1,0,1,0,ger,0,0
CBTW,Data Analyst (M/W/D),Entry level,0,0,0,1,1,1,1,0,ger,0,1
ropa carrier solutions,Data Analyst (m/w/d),Entry level,1,1,0,0,0,0,1,0,ger,0,0
suena,Part-Time Data Analyst (f/m/x),Entry level,0,1,0,0,0,1,1,0,ger,0,0
Randstad,Data Analyst (m/w/d),Entry level,0,1,1,0,0,0,1,0,ger,1,0
FINN,(Senior) Data Analyst,Mid-Senior level,1,1,0,1,0,0,1,0,ger,1,1
ODW-ELEKTRIK,Data Analyst (m/w/d),Entry level,0,0,0,0,0,1,1,0,ger,0,0
Wolt,Senior Data Analyst (Consumer),Mid-Senior level,1,1,0,1,0,1,1,0,ger,1,1
EIGENSONNE,Senior Data Analyst (m/w/d),Mid-Senior level,1,1,0,0,0,1,1,0,ger,0,0
univativ GmbH,(Junior) Data Analyst (m/w/d) Stahlindustrie,Entry level,0,0,0,0,0,0,1,0,ger,1,0
Allianz Global Investors,Data Analyst (f/m/d),Not Applicable,1,0,1,0,0,0,1,0,ger,0,0
PLAION,Data Analyst (m/f/d),Entry level,1,1,0,1,1,0,1,0,ger,1,1
Selby Jennings,Business Data Analyst (d/f/m) Banking,Mid-Senior level,0,0,0,0,0,0,1,0,ger,0,0
instagrid,Senior Data Analyst (f/m/d),Mid-Senior level,1,0,0,1,0,0,1,0,ger,0,0
Wolt,Senior Data Analyst (Wolt Market),Mid-Senior level,1,1,0,1,0,1,1,0,ger,1,1
Ultramarin,Financial Data Analyst (m/f/d),Mid-Senior level,1,1,1,0,0,0,1,0,ger,1,0
Beyond Fossil Fuels,Energy Data Analyst | Remote working from any European location,Mid-Senior level,1,1,1,0,0,1,1,0,ger,0,0
Robert Half,Data Analyst (w/m/d),Entry level,0,1,0,0,1,0,1,0,ger,0,0
Riverty,Marketing Data Analyst (m/f/d),Mid-Senior level,1,1,1,1,1,1,1,0,ger,0,1
talentsconnect AG,Data Analyst (f/m/d),Entry level,0,0,0,1,1,0,1,0,ger,1,0
PARTS EUROPE - We Support The Sport®!,Data Analyst (m/w/d),Entry level,0,0,0,0,0,0,1,0,ger,0,0
Michael Page,Data Analyst,Associate,1,0,1,0,0,0,1,0,ger,0,0
Alexander Bürkle GmbH & Co. KG,Data Analyst* (m/w/d),Entry level,1,1,1,1,0,1,1,0,ger,0,0
DEVnet,Senior Data Analyst (BI & Data Science) (m/w/d),Mid-Senior level,0,1,0,1,0,0,1,0,ger,1,0
EPLAN,Data Analyst (m/w/d),Entry level,1,1,0,0,0,0,1,0,ger,0,1
TecAlliance,Business Intelligence / Data Analyst (m/w/d),Mid-Senior level,1,1,0,0,0,0,1,0,ger,0,1
Continental,Data Analyst (m/w/d) - REF27365K,Not Applicable,0,0,0,0,0,0,1,0,ger,1,0
"Solera, Inc.",Business & Data Analyst,Mid-Senior level,1,0,0,0,0,1,1,0,ger,1,0
Rohde & Schwarz,Data Analyst Marketing (m/w/d),Not Applicable,0,0,1,0,0,0,1,0,ger,0,0
Gemma Analytics,Senior Data Analyst,Mid-Senior level,1,0,1,0,0,1,1,0,ger,0,0
Computer Futures,Data Analyst (m/w/d),Entry level,1,1,0,0,1,0,1,0,ger,0,0
GEA Group,Business Data Analyst (w/m/d),Not Applicable,0,0,0,0,0,0,1,0,ger,0,0
Orange Quarter,Data Analyst,Entry level,0,0,0,0,0,0,1,0,ger,1,0
Volt.io,Analytics Engineer,Mid-Senior level,1,1,1,1,1,0,1,0,ger,0,1
Pitch,Senior Data Analyst (m/f/d),Mid-Senior level,1,1,0,0,0,1,1,0,ger,0,0
UTA Edenred,BI Data Analyst (m/w/d),Mid-Senior level,1,0,0,1,1,0,1,0,ger,0,0
zahneins,Data Analyst BI (m/w/d),Mid-Senior level,1,1,0,1,0,1,1,0,ger,0,0
Allianz Global Investors,Data Analyst for Finance (f/m/d),Not Applicable,1,0,1,0,0,1,1,0,ger,0,0
Prodware,Microsoft Data Analyst / Data Engineer,Associate,0,0,0,0,1,0,1,0,ger,0,0
TechBiz Global,Data Scientist,Not Applicable,1,1,0,0,0,0,0,1,ger,1,0
Enter,Data Scientist (f/m/d),Mid-Senior level,1,1,0,0,0,0,0,1,ger,1,0
Meshcapade,Machine Learning Engineer - Intern (x/f/m) Germany - Remote or Hybrid,Internship,0,0,0,0,0,1,0,1,ger,1,0
Sunday,Data Scientist (m/f/d),Entry level,1,1,0,0,0,1,0,1,ger,0,0
Aignostics,Data Scientist (f/m/d),Entry level,0,1,1,0,0,0,0,1,ger,1,0
kineo.ai,Machine Learning Scientist (f/m/d),Entry level,0,1,1,0,0,0,0,1,ger,1,0
European Centre for Medium-Range Weather Forecasts,Scientist/Engineer for Machine Learning (multiple vacancies),Mid-Senior level,0,1,0,0,0,1,0,1,ger,1,0
wattx,AI / Machine Learning Engineer (f/m/d),Entry level,1,1,0,0,0,0,0,1,ger,1,0
Datasumi,Data Scientist Experienced in Generative AI,Mid-Senior level,0,1,1,0,0,0,0,1,ger,1,1
Enjins,Senior Machine Learning Engineer (Berlin),Mid-Senior level,1,1,0,0,0,0,0,1,ger,1,0
Apiax,Data Scientist,Entry level,0,1,1,0,0,0,0,1,ger,1,0
CBTW,ML Engineer (M/W/D),Entry level,0,0,0,0,0,1,0,1,ger,1,0
Global Market Solutions GmbH ,Data Scientist (m/w/d),Entry level,0,1,0,0,0,0,0,1,ger,1,1
Neural Concept,Machine Learning Application Engineer,Entry level,0,1,1,0,0,0,0,1,ger,1,0
Bosch,Research Scientist or Engineer for AI Validation (f/m/div.),Associate,0,1,1,0,0,1,0,1,ger,1,0
Machine Learning Reply GmbH,Machine Learning Engineer (m/f/d),Mid-Senior level,1,1,1,0,0,1,0,1,ger,1,0
super.AI,Machine Learning Engineer,Mid-Senior level,0,1,0,0,0,0,0,1,ger,1,0
alcemy,Senior Machine Learning Engineer,Mid-Senior level,1,1,1,0,0,1,0,1,ger,1,0
SAM-DIMENSION,ML Data Scientist (m/w/x) Vollzeit,Entry level,0,1,0,0,0,1,0,1,ger,1,0
Enjins,Lead Machine Learning Engineer (Berlin),Mid-Senior level,0,0,0,0,0,0,0,1,ger,1,0
Omnicom Media Group,Data Scientist (f/m/d),Not Applicable,1,1,0,0,0,0,0,1,ger,1,0
SR2 | Socially Responsible Recruitment | Certified B Corporation™,Senior Data Scientist,Mid-Senior level,0,1,1,0,0,0,0,1,ger,0,0
Seedbox Ventures,AI Engineer (all genders),Mid-Senior level,0,1,1,0,0,1,0,1,ger,1,0
Livello Technologies,Data Science / Machine Learning (m/f/d) Mandatory Internship - IoT Startup,Internship,0,1,0,0,0,0,0,1,ger,1,0
CBTW,Data Scientist (m/w/d),Entry level,0,0,0,0,0,1,0,1,ger,0,0
ACONEXT,Data Scientist (m/w/d),Entry level,0,1,0,0,0,0,0,1,ger,1,1
Exxeta,(Junior) Developer (all genders),Entry level,0,0,0,0,0,0,0,1,ger,0,0
HENSOLDT Analytics,AI Scientist/NLP Researcher (m/w/d),Entry level,0,1,0,0,0,0,0,1,ger,0,0
Cyber Insight,Developer AI / Data Science (m/f/d),Mid-Senior level,0,1,1,0,0,0,0,1,ger,0,0
IC Resources,Machine Learning Engineer (Audio),Mid-Senior level,0,0,1,0,0,0,0,1,ger,1,0
niologic GmbH,ML Engineer (m/w/d),Mid-Senior level,1,1,0,0,0,1,0,1,ger,1,0
AndHealth,Senior Data Analyst,Mid-Senior level,1,0,1,0,0,0,1,0,us,0,0
Fenway Health,Data Analyst,Entry level,1,0,1,1,0,0,1,0,us,0,0
Gridium,Data Analyst (Implementation Specialist),Entry level,0,0,1,0,0,1,1,0,us,0,0
BLAZESOFT,Game Data Analyst,Mid-Senior level,1,0,1,0,1,0,1,0,us,0,0
Motion Recruitment Partners LLC,Data Analyst / Python / 100% Remote /,Entry level,1,1,1,0,0,1,1,0,us,0,0
Infinia Search,Data Analyst,Entry level,0,0,1,0,0,1,1,0,us,0,0
Infinite Computer Solutions,Data Analyst,Entry level,0,0,0,0,0,0,1,0,us,0,0
"LanceSoft, Inc.",Business Data Analyst,Mid-Senior level,0,0,0,0,0,0,1,0,us,0,0
BlueFlag LLP,Senior Data Analyst,Mid-Senior level,0,0,1,0,0,0,1,0,us,0,0
TickPick,Data Analyst,Entry level,1,1,0,1,0,1,1,0,us,0,0
Lockheed Martin,Intelligence Analyst,Mid-Senior level,0,0,1,0,0,0,1,0,us,0,0
Steneral Consulting,Data Analyst || Remote,Mid-Senior level,1,0,1,0,1,1,1,0,us,0,0
Braintrust,Data Analyst - Freelance [Remote],Mid-Senior level,1,0,1,0,0,1,1,0,us,0,0
Lorven Technologies Inc.,Data Analyst,Mid-Senior level,1,1,0,0,0,0,1,0,us,0,0
Accede Solutions Inc (accedesol.com),Data Analyst (OR Optimization),Entry level,0,0,0,0,0,0,1,0,us,0,0
TekIntegral,Data Analyst,Mid-Senior level,1,0,0,0,0,0,1,0,us,0,0
AscellaHealth,Senior Data Analyst,Mid-Senior level,1,0,1,0,1,1,1,0,us,0,0
Center for Justice Innovation,Data Analyst,Mid-Senior level,1,1,1,1,1,0,1,0,us,0,0
HANYS,Data Analyst,Entry level,1,0,0,1,0,1,1,0,us,0,0
Ameritech,Data Analysis Administrative Support,Entry level,0,0,1,0,0,0,1,0,us,0,0
VARITE INC,Data Analyst,Entry level,1,0,1,0,0,0,1,0,us,0,0
Affinity,Data Analyst,Mid-Senior level,1,1,0,0,0,0,1,0,us,0,1
Zealogics Inc,Data Analyst,Mid-Senior level,1,0,1,0,0,0,1,0,us,0,0
Techno Staffing,Jr. Data Analyst / Full-time (Remote),Entry level,1,0,0,0,0,1,1,0,us,0,0
Mb Staffing Services LLC,Data Analyst Healthcare,Entry level,0,0,0,1,0,0,1,0,us,0,0
Agile Tech Labs,Data Analyst,Entry level,1,1,1,1,1,1,1,0,us,0,0
AccumTech,SQL Data Analyst,Mid-Senior level,1,0,1,0,0,0,1,0,us,0,0
Sunbird Software,Data Analyst,Entry level,0,0,1,0,0,1,1,0,us,0,0
Centeva,Data Analyst (Junior and Senior),Mid-Senior level,1,1,1,1,1,0,1,0,us,1,0
ESPO Corporation,Data Analyst,Entry level,1,0,1,0,1,0,1,0,us,0,0
KG Invicta Services (KGiS),Data Analyst,Entry level,0,0,1,1,0,1,1,0,us,1,1
BALANCE,Data Analyst (Remote),Entry level,1,0,1,0,1,1,1,0,us,0,0
thredUP,Data Analyst,Entry level,1,1,1,1,0,1,1,0,us,0,1
Ghost,Data Analyst,Entry level,1,0,1,1,0,0,1,0,us,0,0
NTT DATA,Data Analyst (A),Mid-Senior level,1,0,0,1,0,0,1,0,us,0,0
Gersh Autism,Data Analyst,Associate,1,1,1,1,1,0,1,0,us,0,1
Adame Services,Data Analyst,Mid-Senior level,1,0,0,1,0,0,1,0,us,1,0
New York State Department of Civil Service,Data Analyst 1,Mid-Senior level,0,0,0,0,0,0,1,0,us,0,0
Rantec Power Systems Inc.,Data Analyst,Mid-Senior level,1,0,1,0,1,0,1,0,us,0,0
Estrategia Humana®,Analista de datos,Entry level,0,0,1,0,0,0,1,0,us,0,0
Trioworld,Jr. Data Analyst / Full-time (Remote),Entry level,1,0,0,0,0,1,1,0,us,0,0
Torq,Analyst - Data Analysis & Reporting,Mid-Senior level,1,1,1,1,1,0,1,0,us,0,1
TekIntegral,Data Analyst,Entry level,1,0,1,0,0,0,1,0,us,0,0
Stellar Professionals,Cancer Data Analyst //Pay rate: $33.56/hr,Entry level,0,0,1,1,0,0,1,0,us,0,0
WinMax,Data Analyst III,Mid-Senior level,1,1,1,1,0,0,1,0,us,0,0
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Junior Data Analyst - US/Canada,Entry level,1,0,1,0,0,1,1,0,us,0,0
"Anveta, Inc",Data Analyst   (W2 job opportunity),Entry level,1,1,0,0,0,0,1,0,us,0,1
Oak Street Health,"Analyst II, Data (Data Analyst)",Entry level,1,0,1,0,0,1,1,0,us,0,0
Experfy,Data Analyst - QA Tester,Mid-Senior level,1,0,1,1,1,0,1,0,us,0,0
Wood Mackenzie,Data Analyst,Associate,1,1,1,0,0,0,1,0,us,0,0
VRK IT Vision Inc.,Data Analyst Associate,Mid-Senior level,1,0,1,0,0,0,1,0,us,0,0
Stellar Professionals,Data Analyst //Pay rate: $36.74/hr,Entry level,0,0,0,1,0,0,1,0,us,0,0
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Data Analyst (Entry Level),Entry level,1,0,1,0,0,1,1,0,us,0,0
Stellar Professionals,Data analyst// Pay rate: $43.20/hr,Mid-Senior level,1,0,0,1,1,0,1,0,us,0,0
Digital@FEMSA,Data Analyst,Entry level,1,1,1,1,0,0,1,0,us,0,1
Stellar Professionals,Data Analyst //Pay rate: $43.35/hr,Mid-Senior level,1,1,1,1,0,0,1,0,us,0,1
KG Invicta Services (KGiS),Data Analyst (366),Entry level,1,0,1,1,0,0,1,0,us,0,0
Perpay Inc.,Junior Data Analyst,Entry level,1,1,0,1,1,1,1,0,us,0,0
Carbon Direct,Data Analyst,Entry level,1,1,1,1,0,1,1,0,us,1,1
Rose International,Data Analyst,Entry level,1,0,1,1,0,1,1,0,us,0,0
HelioCampus,Data Analyst,Entry level,1,1,0,1,1,1,1,0,us,0,1
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Data Scientist (Entry Level),Entry level,0,1,1,0,0,1,0,1,us,0,0
Idea Evolver,Data Scientist,Mid-Senior level,1,1,1,1,1,0,0,1,us,1,0
DLZP Group,Data Scientist - Remote,Entry level,1,1,1,0,0,1,0,1,us,1,0
MarketBridge,Data Scientist - Marketing Analytics,Mid-Senior level,0,1,1,0,0,0,0,1,us,1,1
Pomelo Care,Data Scientist,Mid-Senior level,1,1,0,0,0,0,0,1,us,0,0
"BasisPath, Inc.",Data Scientist,Mid-Senior level,1,1,1,1,0,0,0,1,us,0,0
Best Buy,Decision Scientist - People Analytics,Entry level,1,1,0,0,0,1,0,1,us,0,0
Goodwill of the Finger Lakes,Data Scientist,Entry level,1,0,1,1,1,0,0,1,us,0,0
Steneral Consulting,"AI/ML, Data Science, and API Integration Engineer/Scientist",Mid-Senior level,1,1,1,0,0,0,0,1,us,1,0
Verneek,Machine Learning Engineer,Mid-Senior level,0,1,0,0,0,0,0,1,us,1,0
Ponce Ai,Machine Learning Ops Engineer at AI image-to-image startup,Entry level,0,1,1,0,0,0,0,1,us,1,0
ShyftLabs,Data Scientist,Not Applicable,1,1,1,0,0,0,0,1,us,1,1
"iBovi - Staffing, Consulting and Recruitment Services",Data Scientist/Machine Learning Engineer,Mid-Senior level,0,1,0,0,0,0,0,1,us,1,0
Altamira Technologies Corporation,"Data Scientist, Jr.",Entry level,0,0,0,0,0,0,0,1,us,1,0
ShyftLabs,Data Scientist,Not Applicable,1,1,1,0,0,1,0,1,us,1,1
Delighted,Applied Scientist,Entry level,0,1,1,0,0,0,0,1,us,1,0
UCLA Health,Data Scientist,Entry level,0,0,0,0,0,0,0,1,us,0,0
Gradient Zero,Machine Learning Engineer,Mid-Senior level,0,1,0,0,0,1,0,1,us,1,0
Key Cyber Solutions,Data Scientist,Mid-Senior level,0,1,0,0,0,0,0,1,us,1,0
Footprint,Statistician / Data Scientist,Mid-Senior level,0,1,1,1,1,0,0,1,us,1,0
Adame Services,Data Science AI/Developer/Python,Entry level,1,1,0,1,0,1,0,1,us,1,1
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Junior Data Scientist Engineer,Entry level,1,1,1,0,0,1,0,1,us,0,1
Qloo,Data Scientist,Not Applicable,0,1,1,0,0,1,0,1,us,1,0
Kellton,Data Scientist (Remote),Entry level,1,1,0,0,0,1,0,1,us,1,0
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Python Developer (Entry Level),Entry level,0,1,1,0,0,1,0,1,us,0,0
Experfy,Data Scientist,Mid-Senior level,0,1,0,0,0,1,0,1,us,0,1
